codigo_interno,nombre_local,region
LE,MALL DEL ALTO,Costa
LC,MALL DEL RIO,Costa
LB,MEGAMAXI WAYRA,Costa
LD,MULTIPLAZA MIRAFLORES,Costa
LA,PLAZA EUROPEA,Costa
BC,9 OCTUBRE Y ANTEPARA,Costa
CG,AKI MAPASINGUE,Costa
CA,ALBAN BORJA,Costa
GF,ALBORADA,Costa
BA,BAHIA MALECON,Costa
FA,CATOLICA,Costa
BM,CENTRO SUR,Costa
EF,CITY MALL LOCAL P BAJA,Costa
EG,CITY MALL PATIO COMIDAS,Costa
DJ,DORADO ISLA,Costa
DI,DORADO PATIO COMIDAS,Costa
BO,EDIF GRAN PASAJE,Costa
CI,ESPOL,Costa
BD,GRAN AKI ASTILLERO,Costa
EA,HIPER DAULE,Costa
DX,HIPER EL BUIJO,Costa
CL,HIPER PEDRO MENENDEZ,Costa
CJ,HIPER VIA A LA COSTA,Costa
CU,HIPERMARKET VIA A LA COSTA 2,Costa
GH,HOSPITAL PAULSON,Costa
GO,HOSPITAL VERNAZA,Costa
EN,JARDINES DE LA ESPERANZA,Costa
BP,JUNTA GYE LOCAL,Costa
EJ,MALECON 2000,Costa
BJ,MALECON DEL SALADO,Costa
GJ,MALL DEL NORTE PATIO DE COMIDAS,Costa
GN,MALL DEL NORTE PB,Costa
GM,MALL DEL SOL LOCAL,Costa
GA,MALL DEL SOL PATIO COMIDAS,Costa
BH,MALL DEL SUR P BAJA,Costa
BG,MALL DEL SUR PATIO COMIDAS,Costa
EL,MALL EL FORTIN ISLA,Costa
ET,MALL RIO GYE,Costa
GC,MEGAKYWI GARZOTA,Costa
CB,MEGAMAXI CEIBOS,Costa
DM,OASIS,Costa
BB,P CARBO Y LUQUE CENTRO,Costa
DH,PASEO DURAN,Costa
DK,PLAZA BATAN,Costa
CE,PLAZA DEL SOL,Costa
FI,PLAZA KENNEDY ORELLANA,Costa
DG,PLAZA LAGOS,Costa
DO,PLAZA NAVONA,Costa
FL,POLICENTRO,Costa
CF,PREVISORA,Costa
BI,PRIMAX 25 JULIO,Costa
DV,PRIMAX AIRES DE BATAN,Costa
EH,PRIMAX AMERICAS,Costa
FB,PRIMAX AROSEMENA,Costa
CH,PRIMAX CEIBOS,Costa
DS,PRIMAX CIUDAD CELESTE,Costa
EK,PRIMAX DAULE,Costa
BE,PRIMAX DOMINGO COMIN,Costa
